Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Content type),Custom field (Development),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Feedback Due Date),Custom field (Incident End Time),Custom field (Incident Start Time),Custom field (Issue color),Custom field (Location),Custom field (Publication date),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Task progress),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Bkash Integration in our app.,SKTAPP-919,12788,,Epic,To Do,SKTAPP,Skitto App,software,admin,,,Highest,,,admin,admin,16/Sep/18 5:20 PM,24/Sep/18 3:14 PM,19/Dec/18 1:41 PM,,reload,,0,Retainer,,"We will have to integrate bkash in our app. Bkash has already shared their integration guideline. 

Please find below are the necessary information related to bKash Payment Gateway:

1.       Developer Portal (detail Product, workflow, API information): https://developer.bka.sh/ 
2.       Checkout Demo: https://merchantdemo.sandbox.bka.sh/frontend/ 
a.       Wallet number-01770618575
b.      Pin-12121
c.       OTP-123456
3.	bKash PGW integration supports different modes of payments (e.g. USSD, Mobile App, QR) 
a.	You need to consider integrating with our WebHook product for this purpose
4.       Github (https://github.com/bKash-developer) for required guideline in developer portal
5.	Sandbox credentials: :  “@cce$$”

From integration perspective, we have to go through following steps:
•         Step 1: Merchant is offered Sandbox credential for testing
•         Step 2: Merchant confirms development readiness using sandbox
•         Step 3: bKash accepts formal sandbox test results by merchant
•         Step 4: merchant shares necessary info (logo, etc.)
•         Step 5: bKash provisions merchant in the payment gateway
•         Step 6: Merchant UAT conducted using production account
•         Step 7: bKash accepts production test results by merchant, and proceeds for go-live



",,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/Sep/18 10:44 AM;admin;bKash Checkout API Integration Guide.docx;https://skitto.atlassian.net/secure/attachment/10962/bKash+Checkout+API+Integration+Guide.docx,,,,,,,,{},,ghx-label-11,,Bkash Integration,To Do,,,,,,,0|i00dlr:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Store 7 days POS location data for all the sellers.,SKTAPP-923,12795,,Task,Resolved,SKTAPP,Skitto App,software,admin,,,High,,kafi,admin,admin,17/Sep/18 10:32 AM,09/Dec/18 5:01 PM,19/Dec/18 1:41 PM,,SalesApp,,0,Backend,Retainer,We have to store 7 days location data & display it in the interface. Please make sure that we change the data storing mechanism accordingly.,,admin,kafi,,,,;16/Oct/18 4:33 PM;kafi;10800,,,,,,,,,,,,,,,0,10800,,,0,10800,,,,,,,,,,,{},,,SKTAPP-740,,,,,,,,,0|i00ea6:,,,SKTAPP Sprint 21,SKTAPP Sprint 22,SKTAPP Sprint 23,SKTAPP Sprint 24,SKTAPP Sprint 25,SKTAPP Sprint 26,,,,,,,,,,,2018-10-16 10:32:52.787,"16/Oct/18 4:32 PM;kafi;Sellers data storing at a local table and showing at admin page. Source code updated at model server

URL: [h|https://dev.skitto.com/management/seller-track]ttps://dev.skitto.com/management/seller-track

Menu link: “Seller Track”",,,,,,,,,,,,
"iOS - Add, modify headers on api/s of selfcare app",SKTAPP-969,12873,,Task,Done,SKTAPP,Skitto App,software,admin,,,Medium,Done,admin,saifur,saifur,04/Oct/18 6:40 PM,19/Dec/18 10:14 AM,19/Dec/18 2:00 PM,09/Oct/18 11:02 AM,,,0,iOS,Retainer,,,hasan.m.rahman,saifur,tasmia.safa,,,moved location detection code upper in the code cycle. Added When in use location permission. added delay before calling version check api.;04/Oct/18 6:49 PM;saifur;14400,Investigated on the issue of no location incoming in header of version check api.;07/Oct/18 5:19 PM;saifur;7200,,,,,,,,,,,,,,0,21600,,,0,21600,,,,,,,,,,,{},,,,,,,,,,,,0|i00e3r:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,2018-10-04 12:46:12.963,"04/Oct/18 6:46 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/00abc00873eff75b61bf698662d07c5e2a13ca62]:
'JIRA TICKET: SKTAPP-969'","09/Oct/18 11:01 AM;tasmia.safa;Solved in the latest build. 

Added parameters :
1. OS	
2. OS Version	
3. App Version	
4. Device Model	

Note: IMEI cannot be fixed in iphone. ",,,,,,,,,,,
Add IMEI number with other device and app related information for android,SKTAPP-956,12860,,Task,Done,SKTAPP,Skitto App,software,admin,,,High,Done,zahidul,zahidul,zahidul,03/Oct/18 3:53 PM,19/Dec/18 10:38 AM,19/Dec/18 2:00 PM,07/Oct/18 3:16 PM,,,0,Android,Retainer,"Add IMEI number for android device
Store IMEI number and send to server with API",,hasan.m.rahman,tasmia.safa,zahidul,,,"Added method in Splash and Chat Activity to retrieve IMEI number

Added permission in manifest

Added request permission handler to get phone state

Added condition to request permission dialog to retrieve phone_state

Added header key for IMEI and implemented for getProfile API server request;03/Oct/18 4:11 PM;zahidul;10800",,,,,,,,,,,,,,,0,10800,,,0,10800,,,,,,,,,,,{},,,,,,,,,,,,0|i00e0v:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,2018-10-03 10:11:57.383,"03/Oct/18 4:11 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/d47229777e6850c0740bd0d20048a64cb4a9a8c0]:
'ADD IMEI [SKTAPP-956]'",07/Oct/18 3:16 PM;tasmia.safa;Added ti the latest build. ,,,,,,,,,,,
Android: Pop up text of emergency loan when the mnp port out flag is on,SKTAPP-946,12847,,Task,Done,SKTAPP,Skitto App,software,admin,,,Medium,Done,zahidul,tasmia.safa,tasmia.safa,30/Sep/18 4:45 PM,19/Dec/18 12:36 PM,19/Dec/18 2:00 PM,02/Oct/18 5:33 PM,,,0,Android,Retainer,"Pop up text of emergency loan when the mnp port out flag is on.

*Header*: ""oops!""
*Body*: you cannot take emergency loan since you have already requested to port out from skitto
*Button*: ugh, take me back",,hasan.m.rahman,tasmia.safa,zahidul,,,Portout condition checked and emergency loan page’s title and description set accordingly;01/Oct/18 5:39 PM;zahidul;7200,"Dialog added with specific message for port out
Parsed response for port out MSISDN and applied condition to show dialog

Tested with production MSISDN and failed as the production server wasn’t updated

Tested in model platform re-organized the conditions applied and debugged and prepared build for test;01/Oct/18 5:41 PM;zahidul;10800","According to QA report emergency loan pop up appears twice at a time

Investigated the reason and find out if emergency loan is browsed from drawer menu the fragment is loaded twice

Setting specific position for the pager invoke pager change listener which also initiate the EmergencyLoan page

Therefore, disabled EmergencyLoan fragment initialization at menu item click listener;02/Oct/18 6:02 PM;zahidul;7200",,,,,,,,,,,,,0,25200,,,0,25200,,SKTAPP-945,,,,,,,,,{},,,SKTAPP-937,,,,,,,,,0|i00dyf:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,2018-09-30 11:18:45.83,"30/Sep/18 5:18 PM;zahidul;This is what we have to show in dialog, I was wondering what will we show in the emergency loan page, when user MSISDN is portout? [~tasmia.safa] apu","30/Sep/18 5:54 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/2014eded37978694d14dd44ecd4c53ad1cf51e03]:
'Remodeling Skitto [SKTAPP-946]'",01/Oct/18 10:43 AM;tasmia.safa;[~zahidul] bhaiya the actual emergency page will have no design change. A pop up will only be added after the user has requested for port out. ,"01/Oct/18 5:37 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/cce7a62d6864d188a3df8896bc25a883095ec140]:
'MNP Skitto [SKTAPP-946]'","02/Oct/18 10:43 AM;tasmia.safa;[~zahidul] bhaiya pressing either the cross or the button of the pop up takes back to the balance page but the pop up appears again after landing on the balance page., which shouldn't happen.",02/Oct/18 5:33 PM;tasmia.safa;Solved in the latest production build.,"03/Oct/18 4:11 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/e25419a547af7b8e67b07dbb21bae7a07081985e]:
'port out pop up[SKTAPP-946]'","23/Oct/18 10:38 AM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/ffc508f11037a0078c1cac7283aef9f9443cd58c]:
'Remodeling Skitto [SKTAPP-946]'",,,,,
ios: Pop up text of emergency loan when the mnp port out flag is on,SKTAPP-945,12846,,Task,Done,SKTAPP,Skitto App,software,admin,,,Medium,Done,saifur,tasmia.safa,tasmia.safa,30/Sep/18 4:45 PM,19/Dec/18 12:36 PM,19/Dec/18 2:00 PM,02/Oct/18 3:49 PM,,,0,iOS,Retainer,"Pop up text of emergency loan when the mnp port out flag is on.

*Header*: ""oops!""
*Body*: you cannot take emergency loan since you have already requested to port out from skitto
*Button*: ugh, take me back",,hasan.m.rahman,tasmia.safa,,,,"Added popup for Portout Case.
Added functionality for Close button and ""okay, take me back"" button.
;01/Oct/18 4:42 PM;saifur;14400",,,,,,,,,,,,,,,0,14400,,,0,14400,,,,,,,,,,,{},,,SKTAPP-937,,,,,,,,,0|i00dy7:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,2018-10-01 11:24:25.113,"01/Oct/18 5:24 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/e48706e6bea9036425bc202d65e277e1cf42f0ed]:
'JIRA TICKETS: SKTAPP-880'","02/Oct/18 11:02 AM;tasmia.safa;[~saifur] bhaiya button text should be ""ugh, take me back"".",02/Oct/18 3:49 PM;tasmia.safa;Solved in production.,,,,,,,,,,
Need design for bkash pop up,SKTAPP-941,12837,,Task,To Do,SKTAPP,Skitto App,software,admin,,,High,,nayeem,tasmia.safa,tasmia.safa,24/Sep/18 3:14 PM,19/Dec/18 12:38 PM,19/Dec/18 2:00 PM,,,,0,Design,Retainer,"Need design for bkash pop up. Screenshot of the sample design is attached.  

 

 !screenshot-1.png|thumbnail! 

",,admin,nayeem,samanta.s.tira,tasmia.safa,,,,,,,,,,,,,,,,,,,,,,,,,03/Oct/18 5:02 PM;samanta.s.tira;Picture1.png;https://skitto.atlassian.net/secure/attachment/11031/Picture1.png,04/Oct/18 11:19 AM;nayeem;reload-balance-popup-v2.png;https://skitto.atlassian.net/secure/attachment/11033/reload-balance-popup-v2.png,02/Oct/18 10:52 AM;nayeem;reload-balance-popup.png;https://skitto.atlassian.net/secure/attachment/11025/reload-balance-popup.png,24/Sep/18 3:22 PM;tasmia.safa;screenshot-1.png;https://skitto.atlassian.net/secure/attachment/11005/screenshot-1.png,,,,,{},,,SKTAPP-919,,,,,,,,,0|i00dwf:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,2018-10-02 04:53:21.732,24/Sep/18 3:26 PM;tasmia.safa;[~nayeem] bhaiya please use the usual skitto colors and font as the attached screenshot may not be accurate. ,"02/Oct/18 10:53 AM;nayeem;!reload-balance-popup.png|thumbnail! 

[~tasmia.safa]",03/Oct/18 9:52 AM;admin;[~samanta.s.tira] can u pls check this & give ur feedback.,"03/Oct/18 10:06 AM;samanta.s.tira;The pop up looks good, although we have never used such colorful buttons in a pop up before. However my concern is with the line “to use flexiload”. It’s showing underneath the pop up. Is that how it’s supposed to be? [~admin] 



As for the colors, I will just confirm with Ishtiaque bhaiya.","03/Oct/18 10:27 AM;admin;[~samanta.s.tira] No the text is supposed to be part of the pop up. [~nayeem] Can you pls fix the design here.

Also [~samanta.s.tira] Please confirm the button orders after discussing with the stakeholders.","03/Oct/18 5:02 PM;samanta.s.tira;[~nayeem] bhaiya please find the feedback attached:

!Picture1.png|thumbnail!","04/Oct/18 11:19 AM;nayeem;!reload-balance-popup-v2.png|thumbnail! 

[~samanta.s.tira]",04/Oct/18 11:20 AM;nayeem;[https://www.dropbox.com/s/yp5z5kxvpuiq8d5/reload-balance-popup v2.psd?dl=0|https://www.dropbox.com/s/yp5z5kxvpuiq8d5/reload-balance-popup%20v2.psd?dl=0] → link to the file,,,,,
iOS- Here is the balance page design for different sim states,SKTAPP-880,12601,,Task,Done,SKTAPP,Skitto App,software,admin,,,Medium,Done,tasmia.safa,tasmia.safa,tasmia.safa,13/Aug/18 10:45 AM,18/Dec/18 3:09 PM,19/Dec/18 2:00 PM,09/Oct/18 10:56 AM,balance,,0,iOS,Retainer," [^balance page SIM status design_v7.zip] 

Please find the attachment for balance page design for inactive, blocked or expired state.",,admin,hasan.m.rahman,tasmia.safa,,,Added top view for showing status. added code for font management.;26/Sep/18 6:38 PM;saifur;14400,Design and implementation added for BLOCKED and ACTIVE STATUS.;27/Sep/18 5:58 PM;saifur;14400,Design and implementation for status INACTIVE and EXPIRED is done.;27/Sep/18 5:58 PM;saifur;14400,"added popup for SIM unblocking. added tap gesture for ""tap here to unblock"".;30/Sep/18 7:38 PM;saifur;14400",Added sim unblocking function.;30/Sep/18 7:38 PM;saifur;3600,"Added functionlity of blocking.
Added popup for Password Check.
Added popup for Facebook Login check;01/Oct/18 4:49 PM;saifur;14400","moved code from after Balance API called to Before balance API called

Tested with different state msisdns.;02/Oct/18 6:29 PM;saifur;3600",Added code for refreshing the balance page after successful sim unblock.;04/Oct/18 6:48 PM;saifur;3600,Backup code added in case of empty response in Get Accounts while the user is in EXPIRED or INACTIVE state.;07/Oct/18 5:17 PM;saifur;7200,,,,,,,0,90000,,,0,90000,,SKTAPP-879,14/Aug/18 4:11 PM;tasmia.safa;balance page SIM status design_v7.zip;https://skitto.atlassian.net/secure/attachment/10924/balance+page+SIM+status+design_v7.zip,03/Oct/18 3:41 PM;tasmia.safa;screenshot-1.png;https://skitto.atlassian.net/secure/attachment/11029/screenshot-1.png,,,,,,,{},,,,,,,,,,,,0|i00cif:,,,SKTAPP Sprint 20,SKTAPP Sprint 21,,,,,,,,,,,,,,,2018-09-27 11:52:30.664,"27/Sep/18 5:52 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/70aca3b44b56be6e7e065806eef764acbfb92a38]:
'Jira Ticket: SKTAPP-880'","30/Sep/18 11:12 AM;tasmia.safa;[~saifur] bhaiya, the ""here""  in the line ""Tap *here* to unblock"" when the *sim is blocked* is not working. ",30/Sep/18 1:35 PM;tasmia.safa;[~saifur] bhaiya the app crashes every time I log in with an inactive MSISDN.,"30/Sep/18 7:38 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/2fa79ae3732c940c5bee873975202129f2eb6e38]:
'JIRA Ticket: SKTAPP-880'","01/Oct/18 5:24 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/e48706e6bea9036425bc202d65e277e1cf42f0ed]:
'JIRA TICKETS: SKTAPP-880'","02/Oct/18 6:22 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/69d9c225b722a500aba840f8c511cee443a2ea84]:
'JIRA Ticket: SKTAPP-880'","03/Oct/18 3:41 PM;tasmia.safa;[~saifur] Bhaiya the inactive state should say ""expired at"" 

 !screenshot-1.png|thumbnail! ","04/Oct/18 6:46 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/00abc00873eff75b61bf698662d07c5e2a13ca62]:
'JIRA TICKET: SKTAPP-969'","07/Oct/18 5:22 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/8998be832f6984098f5d8827264a34b2a23ea3a3]:
'JIRA Ticket: SKTAPP-880'","07/Oct/18 5:38 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/73ff622fca33a21d7232b9c1f017734d7b3ab7a7]:
'JIRA Ticket: SKTAPP-880'","07/Oct/18 6:03 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/6ec43fd98a8b66d40abd67467541b2734b8c2a41]:
'JIRA Ticket: SKTAPP-880'",09/Oct/18 10:45 AM;admin;[~tasmia.safa] Pls test & close this.,09/Oct/18 10:56 AM;tasmia.safa;Solved in the 2.3.0 version of the build. 
Android: need URL for app to deep link on Facebook ads,SKTAPP-849,12569,,Task,Done,SKTAPP,Skitto App,software,admin,,,Medium,Done,zahidul,samanta.s.tira,admin,06/Aug/18 10:17 AM,07/Oct/18 2:52 PM,19/Dec/18 2:00 PM,07/Oct/18 2:52 PM,,,0,Android,Retainer,"We will be running app engagement ads on Facebook with deep links to certain parts of our skitto app.

For that we will be needing links for each feature so that when users click the CTA on the facebook ad, they are taken straight to that feature within the skitto app. 

https://developers.facebook.com/docs/applinks 

 !photo6188100060609357891.jpg|thumbnail! 

Also, we need to figure out how the FB SDK works so that we can identify all the app users within Facebook",,admin,flora,hasan.m.rahman,tasmia.safa,zahidul,"Configured facebook app for deeplinking
Changed manifest to allow deep link ad click to open app specific page
Tested with emulator and device
Added method to handle deep link data and initiate required page to view
Tested push notification work flow with intent data
Tested facebook ad press work flow crash happens
;16/Aug/18 6:19 PM;zahidul;18000","Tested applied changes in facebook ad press workflow crash happens
Debugged with logcat to identify the crash which doesn't occurs with the same workflow when push notification is pressed
Debugged push notification work flow it seems app awakes earlier when push notification is pressed, a service is initiating Home page with statically defined bundles
Matched bundle key names with push notification work flow and applied for facebook ad work flow
Tested and still no solution;16/Aug/18 6:24 PM;zahidul;18000","Applied a different logic to load the required page from ad

Added dependency and built app on emulator

Tested with a test app

Exception occurs right after the app home page appears

Added a thread to create a delay before the changePageAccordingToAd method is initiated

Tested in device and emulator doesn’t work

Thread timeout exception occurs;30/Aug/18 4:50 PM;zahidul;10800","Reported issue and discussed with supervisor 
Changed facebook app settings and changed class name to SplashActivity

Changed manifest configuration for facebook deep linking

Added method to parse ad bundle data in SplashActivity class

Added ad bundle data as extras in MainActivity intent

Tested again and failed

Added more logs to look deep into the push notification workflow

Compared facebook ad deep linking log with push notification log

Find out at some point createFooter() is invoked twice while deeplinking with facebook ad

added condition in getNotification() method of MainActivity and invoked checkAdIntent() method which checks ad intent data and forward bundle to changeSlider() method

Tested and succeeded;03/Sep/18 4:07 PM;zahidul;18000","Defined deep link uri for pages

Checked with push notification configuration and modified checkAdIntent() method according to the link data

Applied separate logic for Promo-deals and FAQ pages;04/Sep/18 5:59 PM;zahidul;10800","Datamixer pager value sets to a blank validity for facebook ad deep linking

Debug the work flow and changed datamixer loading thread waiting time 400 ms;09/Sep/18 11:02 AM;zahidul;1800",,,,,,,,,,0,77400,,,0,77400,,SKTAPP-782,06/Aug/18 10:17 AM;admin;FB app custom audience.PNG;https://skitto.atlassian.net/secure/attachment/10865/FB+app+custom+audience.PNG,06/Aug/18 10:17 AM;admin;FB app custom audience_events_1.PNG;https://skitto.atlassian.net/secure/attachment/10866/FB+app+custom+audience_events_1.PNG,06/Aug/18 10:17 AM;admin;FB app custom audience_events_2.PNG;https://skitto.atlassian.net/secure/attachment/10867/FB+app+custom+audience_events_2.PNG,06/Aug/18 10:17 AM;admin;photo6188100060609357891.jpg;https://skitto.atlassian.net/secure/attachment/10868/photo6188100060609357891.jpg,24/Sep/18 1:49 PM;tasmia.safa;screenshot-1.png;https://skitto.atlassian.net/secure/attachment/11002/screenshot-1.png,,,,{},,,,,,,,,,,,0|i00cb3:,,,SKTAPP Sprint 17,SKTAPP Sprint 19,SKTAPP Sprint 20,SKTAPP Sprint 21,,,,,,,,,,,,,2018-09-06 12:36:15.658,"06/Sep/18 6:36 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/1525d75e7dd8776a30cde7890cc1c2f65222d949]:
'Facebook Deep linking[SKTAPP-849]'","06/Sep/18 7:00 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/412b45527fb062e93ed6ca4181c8b411d6acdced]:
'Facebook Deep linking[SKTAPP-849]'","16/Sep/18 12:31 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/0ce9717bca6423ba2a79d5e1b8ac30c8c8158c76]:
'Facebook Deep linking[SKTAPP-849]'","16/Sep/18 12:31 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/331c9eba4fd566d46d1690cefb1fd635b0b354a3]:
'My Profile, iOS-Android difference[SKTAPP-859]'",16/Sep/18 2:22 PM;flora;Testing is not done yet .,"24/Sep/18 1:52 PM;tasmia.safa;[~zahidul] bhaiya facing problem in  

1.FAQ link 
screenshot-1.png|thumbnail! 

2.  Data breakdown link does not work. Pressing on the data breakdown add leads to the data dashboard page instead of the data details page like its supposed to. Pressing the ad few times after that leads to the data dashboard page but it shows ""no data what"" view and refreshing it fixes the page.","25/Sep/18 1:57 PM;tasmia.safa;[~zahidul] bhaiya the data breakdown URL should lead to the data details page and the data URL should lead to the data dashboard.

Data breakdown>data details
Data> Data dashboard","25/Sep/18 2:01 PM;zahidul;[~tasmia.safa] apu the implementation is similar to push notification, as far as I can remember is that push notification deep linking does not take user to data details page for the mentioned keyword. Please check this with [~admin] bhai please.",07/Oct/18 2:52 PM;tasmia.safa;This has been solved in the latest build. ,,,,
Sales app: Migration page Design to support small screen ,SKTAPP-848,12568,,Task,Done,SKTAPP,Skitto App,software,admin,,,High,Done,nayeem,admin,admin,02/Aug/18 11:27 AM,03/Oct/18 5:58 PM,19/Dec/18 2:00 PM,03/Oct/18 5:58 PM,SalesApp,,0,Design,Retainer,Our Current sales app design was made for for tab. We need to support the design for smaller devices. Please convert the migration page to support small devices.,,admin,nayeem,,,,;12/Sep/18 10:00 AM;nayeem;7200,,,,,,,,,,,,,,,0,7200,,,0,7200,,,12/Sep/18 9:59 AM;nayeem;1_1_migration form.psd;https://skitto.atlassian.net/secure/attachment/10945/1_1_migration+form.psd,12/Sep/18 9:59 AM;nayeem;1_1_migration-form.png;https://skitto.atlassian.net/secure/attachment/10946/1_1_migration-form.png,10/Sep/18 12:43 PM;admin;Screenshot_2018-09-10-12-36-23.jpeg;https://skitto.atlassian.net/secure/attachment/10944/Screenshot_2018-09-10-12-36-23.jpeg,18/Sep/18 3:41 PM;tasmia.safa;screenshot-1.png;https://skitto.atlassian.net/secure/attachment/10967/screenshot-1.png,,,,,{},,,SKTAPP-195,,,,,,,,,0|i00cav:,,,SKTAPP Sprint 19,SKTAPP Sprint 20,SKTAPP Sprint 21,,,,,,,,,,,,,,2018-09-12 03:59:49.589,10/Sep/18 12:11 PM;admin;[~nayeem] we need this design urgently.,"12/Sep/18 9:59 AM;nayeem;[^1_1_migration form.psd] !1_1_migration-form.png|thumbnail! 

[~admin]",13/Sep/18 11:57 AM;admin;[~zahidul] pls check the design,24/Sep/18 9:53 AM;admin;[~nayeem] pls update your worklog & close the ticket.,,,,,,,,,
